epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,15939.3,1.11111,0.94711,0.01082,0.78184,0.62203,0.69974,0.52663,1.28521,1.30264,0.01258,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,16247.6,1.08712,0.92569,0.01081,0.78393,0.62502,0.70319,0.52975,1.28517,1.30042,0.01258,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,16585.3,1.056,0.80508,0.01262,0.78444,0.62814,0.70452,0.53182,1.28435,1.29902,0.01258,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,16892.4,1.04485,0.78405,0.01241,0.78986,0.62686,0.70565,0.53318,1.28461,1.2995,0.01257,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,17199.2,1.04163,0.77861,0.0125,0.78263,0.6301,0.70719,0.53486,1.28458,1.29859,0.01257,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,17501.1,1.04609,0.77787,0.0124,0.78555,0.63287,0.70759,0.53579,1.28425,1.29825,0.01257,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,17804.1,1.03359,0.76696,0.01226,0.79259,0.6283,0.70708,0.53567,1.28453,1.29875,0.01257,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,18113.6,1.03633,0.77025,0.01219,0.79359,0.63002,0.70761,0.53619,1.28383,1.29879,0.01255,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,18433.6,1.03482,0.77111,0.01233,0.79356,0.62992,0.70699,0.53633,1.28469,1.2978,0.01257,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,18764.6,1.03077,0.76169,0.01216,0.79023,0.63299,0.70653,0.53609,1.28456,1.29837,0.01257,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,339.313,1.09468,0.93169,0.01081,0.7894,0.6339,0.7067,0.53639,1.28462,1.29772,0.01257,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,663.146,1.0888,0.93,0.01061,0.79083,0.63006,0.70741,0.53644,1.28505,1.29751,0.01258,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
